actorId,actorName
0531333,Marc Macaulay
0002332,Stephen Lang
0805429,Ryan Slater
0227629,Yi Ding
0270505,Wang Fei
0955741,Zhou Jian Zhong
0000138,Leonardo DiCaprio
0000966,Lorraine Bracco
0812427,Marilyn Sokol
0534944,James Madio
0569011,Patrick McGaw
0000614,Alan Rickman
0000424,Hugh Grant
0146061,Georgina Cates
0035605,Alun Armstrong
0278752,Peter Firth
0001376,Isabelle Huppert
0233027,Martin Donovan
0530581,Elina Löwensohn
0949433,Damian Young
0599745,Chuck Montgomery
0000200,Bill Paxton
0000641,Gary Sinise
0001448,Jessica Lange
0000457,John Hurt
0000619,Tim Roth
0000655,Eric Stoltz
0000666,Lili Taylor
0001711,Annabella Sciorra
0004908,Edie Falco
0129538,Paul Calderon
0000169,Tommy Lee Jones
0000563,Chris O'Donnell
0000366,Catherine Deneuve
0814799,Jean Sorel
0681566,Michel Piccoli
0656180,Geneviève Page
0167509,Pierre Clémenti
0461931,U Aung Ko
0000531,Frances McDormand
0336960,Spalding Gray
0415103,Tiara Jacquelina
0715563,Lou Reed
0001683,Roseanne Barr
0330917,Mel Gorham
0000464,Jim Jarmusch
0001006,John Candy
0000257,Alan Alda
0674231,Rhea Perlman
0001800,Rip Torn
0904153,Spencer Vrooman
0669326,Malachi Pearson
0001550,Cathy Moriarty
0001385,Eric Idle
0001806,John Turturro
0001616,Mekhi Phifer
0913460,Isaiah Washington
0001473,Laura Linney
0909620,Dylan Walsh
0001368,Ernie Hudson
0381416,Grant Heslov
0000243,Denzel Washington
0002023,Matt Craven
0001557,Viggo Mortensen
0190054,Robert Crumb
0190045,Aline Kominsky-Crumb
0190047,Charles Crumb
0190052,Maxon Crumb
0400889,Robert Hughes
0000161,Salma Hayek
0021835,Joaquim de Almeida
0001507,Cheech Marin
0000114,Steve Buscemi
0000884,Jennifer Beals
0000332,Don Cheadle
0000460,Jeremy Irons
0000168,Samuel L. Jackson
0001295,Graham Greene
0131974,Colleen Camp
0001166,James Duval
0000535,Rose McGowan
0000628,Johnathon Schaech
0930317,Cress Williams
0700681,Skinny Puppy
0000125,Sean Connery
0000152,Richard Gere
0002027,Ben Cross
0192377,Liam Cunningham
0135584,Francis Capra
0770788,Mary Kate Schellhardt
0770763,August Schellenberg
0000514,Michael Madsen
0001538,Jonny Lee Miller
0001401,Angelina Jolie
0103038,Jesse Bradford
0000498,Matthew Lillard
0556808,Laurence Mason
0414772,Peter Jacobson
0147296,Tom Cayler
0861513,David Thornton
0625542,Lee Mark Nelson
0000206,Keanu Reeves
0000539,Dina Meyer
0001384,Ice-T
0001429,Takeshi Kitano
0015124,Denis Akiyama
0000800,Armand Assante
0001638,Jürgen Prochnow
0001884,Max von Sydow
0001736,Pauly Shore
0000119,Tia Carrere
0001804,Stanley Tucci
0236519,Brian Doyle-Murray
0001820,Abe Vigoda
0280559,Leo Fitzpatrick
1344991,Sarah Henderson
0682399,Justin Pierce
0150954,Joseph Chan
0821022,Johnathan Staci Kim
0001416,Catherine Keener
0903272,Danielle von Zerneck
0001457,James Le Gros
0249460,J. Trevor Edmond
0901926,Daniel von Bargen
0640413,Kevin J. O'Connor
0490225,Joseph Latimore
0869721,Sheila Tousey
0004959,Thomas Gibson
0551154,Ruth Marshall
0051621,Cameron Bancroft
0000477,Mia Kirshner
0889120,Joanne Vannicola
0000106,Drew Barrymore
0149708,Richard Chaim
0618913,Robert Nadir
0001147,Shannen Doherty
0518718,Jeremy London
0005134,Jason Lee
0001231,Claire Forlani
0000255,Ben Affleck
0039074,Karan Ashley
0097765,Johnny Yong Bosch
0136399,Steve Cardenas
0290969,Jason David Frank
0005057,Amy Jo Johnson
0958461,Marina Zudina
0728004,Fay Ripley
0724084,Evan Richards
0946160,Oleg Yankovskiy
0901522,Igor Volkov
0711846,Nic Ratner
0311297,Karl Geary
0001228,Peter Fonda
0000562,Jeremy Northam
0588222,Dennis Miller
0000832,Diane Baker
0311092,Wendy Gazelle
1338532,The Lady Bunny
0659397,Lum Chang Pang
0000205,Parker Posey
0220867,Anthony DeSando
0000630,Liev Schreiber
0000480,Elias Koteas
0000515,Virginia Madsen
0001201,Mia Farrow
0001282,Tony Goldwyn
0057546,Juana Barrios
0373840,Mike Heibeck
1764044,Vee Brown
0075359,Xander Berkeley
0606487,Dean Norris
0121313,Julie Burgess
0267235,Ronnie Farer
0000198,Gary Oldman
0000380,Robert Duvall
0427104,Lisa Andoh
0362570,Edward Hardwicke
0000924,Elizabeth Berkley
0001492,Kyle MacLachlan
0000153,Gina Gershon
0687625,Glenn Plummer
0001108,Robert Davi
0002064,Giancarlo Esposito
0959242,José Zúñiga
0315342,Stephen Gevedon
0364813,Jared Harris
0000598,Dennis Quaid
0001687,Gena Rowlands
0001718,Kyra Sedgwick
0001426,Ben Kingsley
0001845,Forest Whitaker
0001339,Marg Helgenberger
0000146,Ralph Fiennes
0000699,Michael Wincott
0144875,Nino Castelnuovo
0894636,Anne Vernon
0584879,Marc Michel
0267833,Ellen Farner
0000664,Patrick Swayze
0001512,Mary Elizabeth Mastrantonio
0001515,Joseph Mazzello
0612622,Seth Mumy
0335344,David Marshall Grant
0001960,Romane Bohringer
0086924,Dominique Blanc
0127523,Félicie Pasotti
0000491,John Leguizamo
0001100,Blythe Danner
0000219,Steven Seagal
0091899,Eric Bogosian
0569239,Everett McGill
0001337,Katherine Heigl
0004820,Morris Chestnut
0000510,Andie MacDowell
0724245,Michael Richards
0915008,Nathan Watt
2353614,Robert Best
1027681,Natane Boudreau
0116257,Carla Bruni
0845209,Aitana Sánchez-Gijón
0000063,Anthony Quinn
0316284,Giancarlo Giannini
0032793,Angélica Aragón
0000126,Kevin Costner
0320581,Chaim Jeraffi
0043173,Rick Aviles
0130107,R.D. Call
0443601,Zitto Kazann
0000896,Harry Belafonte
0001488,Kelly Lynch
0001923,Margaret Avery
0101005,Tom Bower
0000289,Ellen Barkin
0000178,Diane Lane
0001018,Keith Carradine
0001215,Albert Finney
0000627,Greta Scacchi
0827663,Daniel Stern
0689237,Jon Polito
0837976,Brad Sullivan
0235652,Ann Dowd
0372217,Anthony Heald
0579823,Oleg Menshikov
0586482,Nikita Mikhalkov
0200848,Ingeborga Dapkunaite
0586486,Nadezhda Mikhalkova
0863146,Vyacheslav Tikhonov
0171499,Grégoire Colin
0430847,Josif Josifovski
0216658,Boris Delcevski
0892574,Dejan Velkov
1046571,Kiril Ristoski
0000160,Ethan Hawke
0000365,Julie Delpy
0248600,Andrea Eckert
0702541,Hanno Pöschl
0115690,Karl Bruckschwaiger
0569000,Darren McGavin
0925966,Bradley Whitford
0609215,Josh Mostel
0000687,J.T. Walsh
0307600,Lee Garlington
0441588,Nicky Katt
0000155,Whoopi Goldberg
0000571,Mary-Louise Parker
